//
///////////////////////////////////////////EXTRASUNNY_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
               0 0 0           29 29 29        255 255 255              2 1 8            10 6 22          255 255 0              5 0 0               0.95               0.25               0.65                200                100                  0            1000.00             200.00               0.95            30 20 0              3 3 3       38 38 55 240       127 77 77 77       127 88 66 41                  0                 30                  0               1.00
// 5 AM
            12 12 12        163 163 163        255 255 255           14 28 36           27 21 14          255 128 0            255 0 0              -0.05               0.35               0.45                150                100                  0            1000.00             200.00               0.95           70 27 10           50 43 36       53 62 68 240    127 124 106 116        127 52 27 0                  0                 90                  0               1.00
// 6 AM
            12 12 12          105 63 63        255 255 255        102 143 202         213 151 83          255 128 0          255 128 0               8.35               0.95               0.05                140                100                  0            1000.00               0.00               0.75          100 34 25          120 92 88    185 160 160 240       127 66 66 66       127 90 70 20                  0                 90                  0               1.00
// 7 AM
              13 4 0        188 188 188        255 255 255         87 125 150         147 111 80          255 128 0            255 0 0               3.65               0.95              -0.05                100                 50                  0            1000.00               0.00               0.45          120 40 40        159 142 106    145 170 170 240       60 119 42 42       127 89 91 44                  0                 90                  0               1.00
// Midday
             13 13 0        188 188 188        255 255 255         95 161 221        150 150 150          255 128 0          255 128 0               2.45               0.95              -0.05                150                  0                150            1000.00              10.00               0.95        120 100 100        180 255 255     90 170 170 240        64 64 64 64       127 90 80 33                  0                 90                  0               1.00
// 7 PM
             13 13 0        131 131 131        255 255 255         77 129 166        151 122 108           255 47 0            255 0 0               2.45               0.25               0.35                110                 40                  0            1000.00              10.00               0.75          120 40 40         200 123 96     143 121 87 240       127 64 64 64      127 114 57 27                  0                 90                  0               1.00
// 8 PM
             13 13 0        163 163 163        255 255 255          56 91 142          129 97 75          255 128 0            155 0 0               1.95               0.45               0.55                100                 60                  0            1000.00              10.00               0.95          120 40 40              0 0 0       67 67 67 240       127 55 55 55       127 120 50 0                  0                 90                  0               1.00
// 10 PM
               0 0 0           45 45 45        255 255 255             5 5 16             4 4 13            255 5 8              5 8 0               0.95               0.45               0.65                160                100                  0            1000.00             200.00               0.95           70 27 10              0 0 0       71 46 53 240       127 77 77 77      127 122 55 33                  0                 30                  0               1.00
//
///////////////////////////////////////////CLOUDY_VEGAS 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
             2 20 33        163 163 163        255 255 255           11 23 34           22 33 44              0 0 0              0 0 0              -0.05               0.95               0.95                200                100                  0            1000.00             100.00               0.95            30 20 0              3 3 3       38 38 55 240     127 66 124 124        127 34 27 0                 44                  0                  0               1.00
// 5 AM
            11 22 33        163 163 163        255 255 255           22 33 44           22 33 44              0 0 0              0 0 0              -0.05               0.95               0.95                150                100                  0            1000.00             100.00               0.95           70 27 10           50 43 36       53 62 68 240     127 66 124 124        127 34 27 0                 44                  0                  0               1.00
// 6 AM
            22 22 33        188 188 187        255 255 255           84 83 88           77 77 77              0 0 0              0 0 0              -0.05               0.95               0.85                140                100                  0            1000.00             100.00               0.75          100 34 25          120 92 88    185 160 160 240     127 64 124 124        127 34 27 0                122                  0                  0               1.00
// 7 AM
            22 22 22        188 188 188        255 255 255        148 166 176        226 226 226              0 0 0              0 0 0              -0.05               0.95               0.75                100                 50                  0            1000.00             100.00               0.45          120 40 40        159 142 106    145 170 170 240       127 64 64 64       127 66 55 21                122                  0                  0               1.00
// Midday
            22 22 22        188 188 188        255 255 255        144 144 144        122 122 122              0 0 0              0 0 0              -0.05               0.95               0.25                150                  0                150            1000.00              10.00               0.95        120 100 100           88 88 88     90 170 170 240    127 124 124 124       127 66 55 21                122                  0                  0               1.00
// 7 PM
            22 22 22        188 163 163        255 255 255        144 144 144        155 155 155              0 0 0              0 0 0              -0.05               0.95               0.95                110                 40                  0            1000.00              10.00               0.75          120 40 40           88 88 88      153 95 87 240       127 64 64 64       127 66 66 50                122                  0                  0               1.00
// 8 PM
              2 2 13        163 163 163        255 255 255           88 88 88           88 88 88              0 0 0              0 0 0              -0.05               0.95               0.95                100                 60                  0            1000.00              10.00               0.95          120 52 79           88 88 88       67 67 67 240    127 124 124 124        127 34 27 0                122                  0                  0               1.00
// 10 PM
               0 5 9            7 22 40        255 255 255           12 28 49           22 33 44              0 0 8              0 0 0              -0.05               0.95               0.95                160                100                  0            1000.00              10.00               0.95           70 27 10              0 0 0       67 67 62 240       127 22 58 57        127 34 27 0                 44                  0                  0               1.00
//
///////////////////////////////////////////EXTRASUNNY_COUNTRYSIDE 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
               0 0 0              0 0 0        255 255 255            6 16 24           21 24 27          255 255 0              5 0 0               0.95               0.45               0.95                200                100                  0            1500.00             100.00               0.95            30 20 0              3 3 3       53 62 68 240       127 89 97 80      127 17 86 109                 44                120                  0               1.00
// 5 AM
               0 0 0              0 0 0        255 255 255           19 44 66            6 35 31          255 128 0            255 0 0              -0.05               0.35               0.95                150                100                  0            1500.00             100.00               0.95           23 30 20           50 43 36       53 62 68 240     127 103 107 80      127 10 90 100                 88                120                  0               1.00
// 6 AM
            23 22 22        188 188 188        255 255 255         88 145 236        227 176 128          255 128 0        255 255 255               8.35               0.25               0.85                140                100                  0            1500.00             100.00               0.75          100 34 25        167 121 118    185 160 160 240     127 124 124 69         127 91 9 0                213                120                  0               1.00
// 7 AM
               7 7 7        188 188 188        255 255 255        105 177 234         187 129 94          255 128 0        255 255 255               3.25               0.35               0.25                100                 50                  0            1500.00               5.00               0.45          120 40 40        159 142 106    145 170 170 240       127 62 64 44       127 80 36 22                 81                120                  0               1.00
// Midday
              22 5 5        203 188 188        255 255 255         89 162 219        160 206 255          255 128 0          255 128 0               2.45               0.95               0.05                150                  0                150            1500.00              65.00               0.95        120 100 100        255 254 254     69 119 119 240       127 60 60 46       127 86 84 52                105                120                  0               1.00
// 7 PM
            22 22 22        163 163 163        255 255 255        109 142 157        165 155 130           255 25 0        255 255 255               7.45               0.45               0.55                110                 40                  0            1500.00               5.00               0.75          120 40 40          255 96 43     148 134 97 240       127 66 66 46       127 80 72 32                 99                120                  0               1.00
// 8 PM
               5 5 0        163 163 163        255 255 255          61 95 148          104 98 86          255 128 0            155 0 0               1.95               0.35               0.35                100                 60                  0            1500.00              10.00               0.95          120 40 40              0 0 0       67 67 67 240      127 118 89 48        127 69 28 6                 62                120                  0               1.00
// 10 PM
               2 2 8              0 0 0        255 255 255           16 24 30           22 36 46            255 5 8              5 8 0               0.95               0.25               0.55                160                100                  0            1500.00              10.00               0.95           70 27 10              0 0 0       67 67 62 240       62 62 62 124      127 132 80 40                 44                120                  0               1.00
//
///////////////////////////////////////////SUNNY_COUNTRYSIDE 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
            33 33 33        163 163 163        255 255 255           10 22 35           10 22 35          255 255 0              5 0 0               0.95               0.45               0.95                200                100                  0            1500.00             100.00               0.95            30 20 0              3 3 3       53 62 68 240       127 89 97 80      127 17 86 109                 44                120                  0               1.00
// 5 AM
            22 25 25        163 163 163        255 255 255           10 22 35           10 22 35          255 128 0            255 0 0              -0.05               0.35               0.95                150                100                  0            1500.00             100.00               0.95           23 30 20           50 43 36       53 62 68 240     127 103 107 80      127 10 90 100                 88                120                  0               1.00
// 6 AM
            23 23 23        188 188 188        255 255 255         90 145 227         200 144 85        255 255 255          122 122 0               8.35               0.25               0.85                140                100                  0            1500.00             100.00               0.75          100 34 25          120 92 88    185 160 160 240     127 124 124 69         127 91 9 0                 75                120                  0               1.00
// 7 AM
               5 5 5        188 188 188        255 255 255         90 205 255        187 146 116        255 255 255          122 122 0               3.25               0.35               0.25                100                 50                  0            1500.00               5.00               0.45          120 40 40        159 142 106    145 170 170 240       127 62 64 44       127 80 36 22                 81                120                  0               1.00
// Midday
             22 22 5        188 188 188        255 255 255         98 170 255        170 170 170          255 128 0          255 128 0               2.45               0.95               0.05                150                  0                150            1500.00              65.00               0.95        120 100 100        180 255 255     90 170 170 240       127 60 60 46       127 86 84 52                105                120                  0               1.00
// 7 PM
             22 22 5        163 163 163        255 255 255        109 142 157        160 158 154          255 128 0            255 0 0               7.45               0.45               0.55                110                 40                  0            1500.00               5.00               0.75          120 40 40         152 123 96     148 134 97 240       127 47 47 38       127 80 72 32                 99                120                  0               1.00
// 8 PM
            21 21 21        163 163 163        255 255 255        109 142 189        165 155 130          255 128 0            155 0 0               1.95               0.35               0.35                100                 60                  0            1500.00              10.00               0.95          120 40 40           54 55 55       67 67 67 240      127 118 89 48        127 69 28 6                 62                120                  0               1.00
// 10 PM
            33 33 33        163 163 163        255 255 255           20 15 45           66 66 64            255 5 8              5 8 0               0.95               0.25               0.55                160                100                  0            1500.00              10.00               0.95           70 27 10              0 0 0       67 67 62 240       62 62 62 124      127 132 80 40                 44                120                  0               1.00
//
///////////////////////////////////////////CLOUDY_COUNTRYSIDE 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
            12 22 35        200 200 200        255 255 255              0 9 9            1 24 32              0 0 0              0 0 0               0.95               0.25               0.35                200                100                  0            1150.00             -22.00               0.95            30 20 0           23 28 30       32 43 66 240       127 77 77 77       127 99 99 83                122                  0                  0               1.00
// 5 AM
             3 18 33        190 176 169        255 255 255              0 9 9            1 24 32              0 0 0              0 0 0               0.95               0.25               0.45                200                100                  0            1150.00             -22.00               0.95           70 27 10           23 28 30       26 58 66 240    127 124 124 124       127 48 48 48                122                  0                  0               1.00
// 6 AM
            12 22 22        190 176 169        255 255 255           41 46 47           31 36 37              0 0 0              0 0 0               3.35               0.25               0.35                200                100                  0            1150.00             -22.00               0.75          100 34 25           23 28 30       42 77 88 240    127 124 124 124       127 48 48 48                122                  0                  0               1.00
// 7 AM
            12 22 21        190 176 169        255 255 255           62 72 75           62 72 75              0 0 0              0 0 0              -0.05               0.35               0.05                200                 50                  0            1150.00             -22.00               0.45          120 40 40           46 58 61       52 77 88 240    127 124 124 124       127 48 48 48                122                  0                  0               1.00
// Midday
               2 5 5        188 188 183        255 255 255        125 145 151        125 145 151              0 0 0              0 9 9               1.95               0.25               0.25                 80                  0                120            1150.00             -22.00               0.25        120 100 100         92 116 123     97 125 125 240    127 124 124 124       127 48 48 48                122                  0                  0               1.00
// 7 PM
               0 5 5        190 176 169        255 255 255           62 72 75           62 72 75              0 0 0              0 0 0               3.45               0.35               0.25                 80                  0                  0            1150.00             -22.00               0.75        120 100 100           46 58 61    102 128 134 240    127 124 124 124       127 48 48 48                122                  0                  0               1.00
// 8 PM
              7 5 22        190 176 169        255 255 255           36 36 40           31 36 44              0 0 0              0 0 0               1.95               0.15               0.95                 80                 50                  0            1150.00             -22.00               0.95        120 100 100           46 58 61    105 126 134 240    127 124 124 124       127 48 48 48                122                  0                  0               1.00
// 10 PM
             5 22 33        190 176 169        255 255 255              7 9 9            1 24 32              0 0 0              0 0 0               0.95               0.15               0.95                200                100                  0            1150.00             -22.00               0.95           70 27 10           23 28 30       41 77 74 240    127 124 124 124       127 48 48 48                122                  0                  0               1.00
//
///////////////////////////////////////////RAINY_COUNTRYSIDE 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
            21 21 39        135 173 197        255 255 255           40 40 40           50 50 50              0 0 0              0 0 0               0.95               0.95               0.55                200                100                  0             650.00             155.00               0.95            30 20 0              0 0 0     58 115 150 240       127 38 64 98        127 0 64 20                 90                 55                  0               1.00
// 5 AM
            31 31 31        135 173 197        255 255 255           50 50 50           50 50 50              0 0 0              0 0 0               0.95               0.95               0.65                200                100                  0             650.00               5.00               0.95           70 27 10              0 0 0       59 68 77 240       127 94 66 55       127 22 66 33                 90                120                  0               1.00
// 6 AM
            31 31 31        135 173 197        255 255 255           39 50 50           60 60 60              0 0 0              0 0 0               3.35               0.85               0.25                200                100                  0             650.00             161.00               0.85          100 34 25              0 0 0       62 72 77 240      127 88 89 110        127 0 64 20                 90                120                100               1.00
// 7 AM
            21 21 21        135 173 197        255 255 255           69 69 69           79 79 79              0 0 0              0 0 0              -0.05               0.65               0.45                 80                 80                  0             650.00               5.00               0.75          120 40 40              0 0 0    107 117 122 240       127 80 61 81       127 14 61 20                 90                120                  0               1.00
// Midday
            21 21 21        186 186 186        255 255 255           80 80 80           70 70 70              0 0 0              0 0 0               0.95               0.45               0.65                 80                 50                120             650.00               5.00               0.65        120 100 100              0 0 0    141 141 140 240       127 69 69 69       127 55 55 55                 90                120                  0               1.00
// 7 PM
            21 21 21        135 173 193        255 255 255           80 80 80           70 70 70              0 0 0              0 0 0               3.45               0.75               0.75                 80                 50                  0             650.00               5.00               0.85          120 40 40              0 0 0    116 135 144 240       127 60 90 85       127 38 42 22                 90                120                  0               1.00
// 8 PM
            22 22 22        167 198 223        255 255 255           40 40 40           70 70 70              0 0 0              0 0 0               1.95               1.85               0.75                 80                 80                  0             650.00             123.00               0.95          120 40 40              0 0 0    132 176 189 240       127 38 64 99        127 0 55 20                 90                 55                  0               1.00
// 10 PM
            31 31 39        167 198 223        255 255 255           40 40 40           50 50 50              0 0 0              0 0 0               0.95               0.15               0.45                200                100                  0             650.00             188.00               0.95           70 27 10              0 0 0     80 105 144 240       127 38 64 98        127 0 55 20                 90                120                  0               1.00
//
///////////////////////////////////////////EXTRASUNNY_DESERT 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
              5 5 11        163 163 163        255 255 255             0 0 26            20 0 29          255 255 0              5 0 0               0.95               0.35               0.95                200                100                  0            1500.00             100.00               0.95            30 20 0              3 3 3       38 38 55 240     127 84 109 141       127 34 17 77                  0                  0                  0               1.00
// 5 AM
              5 5 15        180 163 163        255 255 255           19 13 29           40 18 24          255 128 0            255 0 0              -0.05               0.65               0.45                150                100                  0            1500.00             100.00               0.95           70 27 10           50 43 36       53 62 68 240     127 124 93 131       127 34 17 14                  0                  0                  0               1.00
// 6 AM
              5 5 22        188 188 188        255 255 255         90 205 255         200 144 85          255 128 0        155 155 155               8.35               0.95               0.05                140                100                  0            1500.00             100.00               0.75          100 34 25          120 92 88    159 138 120 240       127 88 88 88       127 144 77 0                  0                 69                  0               1.00
// 7 AM
            10 10 10        188 188 188        255 255 255         86 172 209        250 218 143          255 128 0        155 155 155               3.75               0.95               0.15                100                 50                  0            1500.00             100.00               0.45          120 40 40        159 142 106    145 170 170 240       127 64 64 56       127 113 55 0                  0                  0                  0               1.00
// Midday
               0 0 0        188 188 188        255 255 255         63 127 196        212 154 157          255 128 0          255 128 0               2.45               0.95              -0.05                150                  0                150            1500.00             111.00               0.95        120 100 100        180 255 255    126 170 140 240       127 77 77 66       127 120 69 0                  0                122                  0               1.00
// 7 PM
               0 0 0        163 163 163        255 255 255        103 190 228        250 218 143          255 128 0            255 0 0               7.45               0.95               0.55                110                 40                  0            1500.00              10.00               0.75          120 40 40         200 123 96     139 112 87 240       127 88 88 77        127 92 20 0                  0                188                  0               1.00
// 8 PM
               0 0 0        163 163 163        255 255 255           27 67 92          106 96 63          255 128 0            155 0 0               1.95               0.95               0.35                100                 60                  0            1500.00              10.00               0.95          120 40 40             30 0 0       67 67 67 240       127 88 88 77        127 92 20 0                  0                  0                  0               1.00
// 10 PM
               0 0 0              0 0 0        255 255 255             1 4 11            33 0 39            255 5 8              5 8 0               0.95               0.45               0.55                160                100                  0            1500.00              10.00               0.95           70 27 10              0 0 0       67 67 62 240     127 84 109 124       127 34 17 77                  0                  0                  0               1.00
//
///////////////////////////////////////////SUNNY_DESERT 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
            10 10 20        163 163 163        255 255 255             1 1 17            13 0 21          255 255 0              5 0 0               0.95               0.35               0.95                200                100                  0            1500.00             100.00               0.95            10 1 14              3 3 3       38 38 55 240     127 84 109 141       127 34 17 77                 55                  0                  0               1.00
// 5 AM
            10 10 15        180 163 163        255 255 255            11 0 21           80 50 58          255 128 0            255 0 0              -0.05               0.65               0.45                150                100                  0            1500.00             100.00               0.95           70 27 10           50 43 36       53 62 68 240     127 124 93 131       127 34 17 14                 55                  0                  0               1.00
// 6 AM
              5 5 22        188 188 188        255 255 255         90 205 255         200 144 85          255 128 0        155 155 155               8.35               0.95               0.05                140                100                  0            1500.00             100.00               0.75          100 34 25          120 92 88    159 138 120 240       127 88 88 88       127 144 77 0                100                 69                  0               1.00
// 7 AM
               0 0 0        188 188 188        255 255 255         53 129 177        250 218 143          255 128 0        155 155 155               3.75               0.95               0.15                100                 50                  0            1500.00             100.00               0.45          120 40 40        159 142 106    145 170 170 240       127 64 64 56       127 113 55 0                 55                188                  0               1.00
// Midday
               0 0 0        188 188 188        255 255 255         62 119 173        224 166 147          255 128 0          255 128 0               2.45               0.95              -0.05                150                  0                150            1500.00             111.00               0.95        120 100 100        180 255 255    126 170 140 240       127 77 77 66       127 120 69 0                 33                122                  0               1.00
// 7 PM
               0 0 0        163 163 163        255 255 255         70 152 187        250 218 143          255 128 0            255 0 0               7.45               0.95               0.55                110                 40                  0            1500.00              10.00               0.75          120 40 40         200 123 96     139 112 87 240       127 88 88 77        127 92 20 0                 55                188                  0               1.00
// 8 PM
               0 0 0        163 163 163        255 255 255          37 76 123         167 108 65          255 128 0            155 0 0               1.95               0.95               0.35                100                 60                  0            1500.00              10.00               0.95          120 40 40             30 0 0       67 67 67 240       127 61 50 37        127 66 27 0                 53                  0                  0               1.00
// 10 PM
            10 10 10        163 163 163        255 255 255             3 7 18            26 3 29            255 5 8              5 8 0               0.95               0.45               0.55                160                100                  0            1500.00              10.00               0.95           70 27 10              0 0 0       67 67 62 240      127 78 90 104       127 34 17 77                 55                  0                  0               1.00
//
///////////////////////////////////////////SANDSTORM_DESERT 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
               0 0 0              0 0 0        255 255 255           20 20 37           20 20 37          255 255 0              5 0 0               0.95               0.95               0.95                 50                100                  0             150.00            -111.00               0.95            30 20 0              3 3 3       38 38 55 240       127 39 21 21        127 56 38 0                  0                 12                  0               1.00
// 5 AM
            21 21 21        137 137 137        255 255 255         105 102 82         105 102 82          255 128 0            255 0 0              -0.05               0.95               0.95                 50                100                  0             150.00            -111.00               0.95           70 27 10           50 43 36       53 62 68 240       127 64 64 64        127 56 38 0                  0                 12                  0               1.00
// 6 AM
            21 21 21        137 137 137        255 255 255         112 109 89         112 109 89          255 128 0          255 128 0               8.35               0.95              -0.05                 50                100                  0             150.00            -111.00               0.75          100 34 25          120 92 88    185 160 160 192       127 64 64 64        127 56 32 0                  0                 12                  0               1.00
// 7 AM
            21 21 21        137 137 137        255 255 255         120 117 96         120 117 96              0 0 0              0 0 0              -0.05               0.95              -0.05                 50                 50                  0             150.00            -111.00               0.45          120 40 40        159 142 106    145 170 170 230        127 52 46 2       127 75 68 54                  0                 12                  0               1.00
// Midday
            11 11 11        137 137 137        255 255 255        166 163 140        166 163 140              0 0 0              0 0 0              -0.05               0.95              -0.05                 50                  0                  0             150.00            -111.00               0.95        120 100 100        180 255 255       45 90 90 240        127 27 15 2       127 85 85 63                  0                 44                  0               1.00
// 7 PM
            21 21 21        137 137 137        255 255 255           97 94 78           97 94 78          255 128 0            255 0 0              -0.05               0.95               0.95                 50                 40                  0             150.00            -111.00               0.75          120 40 40         200 123 96       98 95 87 240       127 45 46 22       127 58 39 24                  0                255                  0               1.00
// 8 PM
            21 21 21        137 137 137        255 255 255           87 84 69           87 84 69          255 128 0            155 0 0               1.95               0.95               0.95                 50                 60                  0             150.00            -111.00               0.95          120 40 40              0 0 0       67 67 67 240       127 45 46 22       127 58 39 24                  0                255                  0               1.00
// 10 PM
            21 21 21         137 155 33        255 255 255           55 55 55           55 55 55            255 5 8              5 8 0               0.95               0.95               0.95                 50                100                  0             150.00            -111.00               0.95           70 27 10              0 0 0       67 67 62 240       127 37 33 30        127 56 38 0                  0                  0                  0               1.00
//
///////////////////////////////////////////UNDERWATER 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
            21 21 21        135 173 197        255 255 255           10 10 10           20 20 20              0 0 0              0 0 0               0.95               0.95               0.95                200                100                  0             300.00               5.00               0.95            30 20 0              0 0 0       59 68 77 192     127 104 136 83       127 24 76 16                255                  0                  0               1.00
// 5 AM
            21 21 21        135 173 197        255 255 255           10 10 10           20 20 20              0 0 0              0 0 0              -0.05               0.95               0.95                200                100                  0             300.00               5.00               0.95           70 27 10              0 0 0       59 68 77 192      127 94 141 95        127 0 70 20                255                  0                  0               1.00
// 6 AM
            21 21 21        135 173 197        255 255 255           10 10 10           20 20 20              0 0 0              0 0 0               3.35               0.85               0.85                200                100                  0             300.00               5.00               0.85          100 34 25              0 0 0       62 72 77 192    127 124 174 110        127 0 64 20                255                  0                100               1.00
// 7 AM
            21 21 21        135 173 197        255 255 255           40 40 40           50 50 50              0 0 0              0 0 0               2.45               0.65               0.75                 80                 80                  0             300.00               5.00               0.75          120 40 40              0 0 0    107 117 122 192    127 124 153 104        127 0 48 20                255                  0                  0               1.00
// Midday
            21 21 21        186 186 186        255 255 255           80 80 80           70 70 70              0 0 0              0 0 0               0.95               0.45               0.65                 80                 50                120             300.00               5.00               0.65        120 100 100              0 0 0    141 141 140 255    127 124 143 109        127 0 51 24                255                  0                  0               1.00
// 7 PM
            21 21 21        135 173 193        255 255 255           80 80 80           70 70 70              0 0 0              0 0 0               3.45               0.95               0.95                 80                 50                  0             300.00               5.00               0.85          120 40 40              0 0 0    116 135 144 192     127 124 139 85       127 10 46 22                255                  0                  0               1.00
// 8 PM
            21 21 21        167 198 223        255 255 255           40 40 40           70 70 70              0 0 0              0 0 0               1.95               0.95               0.95                 80                 80                  0             300.00               5.00               0.95          120 40 40              0 0 0    132 176 189 192      127 63 124 99        127 0 87 20                255                  0                  0               1.00
// 10 PM
               0 0 0              0 0 0        255 255 255           18 18 18           21 21 21              0 0 0              0 0 0               0.95               0.95               0.95                200                100                  0             300.00               5.00               0.95           70 27 10              0 0 0       54 54 54 192       127 62 62 44       127 18 23 24                255                  0                  0               1.00
//
///////////////////////////////////////////EXTRACOLOURS_1 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
               0 0 0        166 166 166        255 255 255        255 255 255              5 5 5          255 255 0              5 0 0               0.95               0.95               0.95                200                100                  0             400.00             100.00               0.95            30 20 0              3 3 3       85 85 65 192       127 64 64 41       127 64 64 64                  0                  0                  0               0.00
// 5 AM
               0 0 0        121 122 122        255 255 255              1 1 1              5 5 5          255 255 0              5 0 0               0.95               0.35               0.95                200                100                  0             400.00             100.00               0.95            30 20 0              3 3 3       65 85 65 147       127 64 64 43       127 73 69 64                  0                  0                  0               1.00
// 6 AM
               0 0 0           50 50 50        255 255 255        255 255 255              5 5 5          255 255 0              5 0 0               0.95               0.95               0.95                200                100                  0             400.00             100.00               0.95            30 20 0              3 3 3       85 85 65 192       127 64 64 64       127 64 64 64                  0                  0                  0               1.00
// 7 AM
               0 0 0        180 180 180        255 255 255              1 1 1              5 5 5          255 255 0              5 0 0               0.95               0.95               0.95                200                100                  0             400.00             100.00               0.95            30 20 0              3 3 3       85 85 65 192       127 64 64 46       127 65 64 64                  0                  0                  0               1.00
// Midday
               8 2 4           22 22 22        255 255 255        255 255 255              5 5 5          255 255 0              5 0 0               0.95               0.95               0.95                200                100                  0             400.00             100.00               0.95            30 20 0              3 3 3       85 85 65 192       127 87 64 85       127 64 33 33                  0                  0                  0               0.00
// 7 PM
               7 9 2           54 55 55        255 255 255        255 255 255              5 5 5          255 255 0              5 0 0               0.95               0.95               0.95                200                100                  0             400.00             100.00               0.95            30 20 0              3 3 3       85 85 65 192       127 44 64 87       127 99 99 99                  0                  0                  0               1.00
// 8 PM
               0 0 0           20 20 20        255 255 255        255 255 255              5 5 5          255 255 0              5 0 0               0.95               0.95               0.95                200                100                  0             400.00             100.00               0.95            30 20 0              3 3 3       85 85 65 192       127 64 64 64      127 64 146 64                  0                  0                  0               1.00
// 10 PM
               0 0 0           20 20 20        255 255 255        255 255 255              5 5 5          255 255 0              5 0 0               0.95               0.35               0.45                200                100                  0             400.00             100.00               0.95            30 20 0              3 3 3       85 85 65 192       127 64 64 64       127 96 92 64                  0                  0                  0               1.00
//
///////////////////////////////////////////EXTRACOLOURS_2 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
